filename,category,product_name,channels_used,status,resolution,timestamp,filepath
vis06_reflectance_raw.png,channels,VIS 0.6 µm Raw Calibrated Reflectance,vis_06,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\vis06_reflectance_raw.png
vis06_contrast_stretched.png,channels,VIS 0.6 µm Linear Contrast Enhancement,vis_06,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\vis06_contrast_stretched.png
vis06_gamma_enhanced.png,channels,VIS 0.6 µm Low-Light Gamma Enhanced (γ=1.5),vis_06,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\vis06_gamma_enhanced.png
vis06_sun_angle_normalized.png,channels,VIS 0.6 µm Sun Zenith Angle Normalized Reflectance,vis_06,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\vis06_sun_angle_normalized.png
nir22_reflectance_raw.png,channels,NIR 2.2 µm Raw Calibrated Reflectance,nir_22,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\nir22_reflectance_raw.png
nir22_particle_contrast.png,channels,NIR 2.2 µm Cloud Particle Phase Contrast,nir_22,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\nir22_particle_contrast.png
nir22_color_gradient.png,channels,NIR 2.2 µm Spectral False-Color Map,nir_22,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\nir22_color_gradient.png
ir38_bt_grayscale.png,channels,IR 3.8 µm Brightness Temperature (Inverted),ir_38,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\ir38_bt_grayscale.png
ir38_thermal_hotspot.png,channels,IR 3.8 µm Thermal Hotspot & Fire Highlight Map,ir_38,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\ir38_thermal_hotspot.png
ir38_night_fog_contrast.png,channels,IR 3.8 µm Fine Thermal Contrast Palette,ir_38,SUCCESS,1000x1024,2026-07-18 08:30:07 UTC,channels\ir38_night_fog_contrast.png
